Termo;Definicao
Anterioridades;Informações similares a uma criação industrial divulgadas ao público antes da data de depósito de um pedido de patente. Os meios de divulgação escrita incluem documentos de patente, publicações em revistas técnicas, periódicos científicos, anais de eventos, monografias, dissertações, teses, livros, jornais, manuais técnicos, catálogos de produtos e materiais de propaganda. Os meios de divulgação oral incluem conversas, relatos, palestras, radiodifusão, transmissão televisiva e internet (YouTube, Instagram etc). Os meios de divulgação por uso incluem produção, venda, importação, exibição e demonstração do produto e/ou atividade industrial.
Aplicação industrial;Um dos requisitos para a obtenção de uma patente de invenção ou de uma patente de modelo de utilidade. Possibilidade concreta de utilizar ou produzir uma criação com repetibilidade em qualquer tipo/gênero de indústria, como por exemplo agrícola, extrativa e de produtos manufaturados. Deve ter caráter técnico não personalizado nem individualizado.
Atividade inventiva;Um dos requisitos para a obtenção de uma patente de invenção. Esforço intelectual para o desenvolvimento tecnológico de uma criação que não represente uma modificação óbvia ou evidente do que já era conhecido no estado da técnica.
Ato inventivo;Um dos requisitos para a obtenção de uma patente de modelo de utilidade. Esforço intelectual para o desenvolvimento tecnológico de um novo objeto que não represente uma modificação comum ou óbvia em comparação com o que já era conhecido no estado da técnica. O aperfeiçoamento não pode ser trivial nem corriqueiro considerando as condições de experimentação e os conhecimentos teórico e prático operacional usuais à época do depósito do pedido de patente.
Ato Normativo;Regra de uso ou aplicação.
Avaliação de Bens;Métodos científicos para atribuir valor monetário ao Capital Intelectual ou a um empreendimento.
Backlog;Número de pedidos (de marcas, patentes, desenhos industriais etc) que aguardam análise pelo escritório de propriedade industrial do país.
Bens Intangíveis;Diz-se dos bens intocáveis, da Propriedade Intelectual. Capital Intelectual e conhecimento ou Know-How.
Busca;Procedimento preventivo de pesquisa e verificação
Busca de Anterioridades;Busca em nível mundial de documentos de patente, de literatura não patentária, de descrição escrita, oral, por uso ou qualquer outro meio. Feita antes do depósito para o depositante poder descrever no relatório descritivo o estado da técnica relacionado à criação reivindicada no pedido de patente. Feita pelo examinador de patentes para verificar se a criação pleiteada é nova e se cumpre os demais requisitos de patenteabillidade fixados na Lei 9279/96 de Propriedade Industrial (LPI).
Busca de Marca;Procedimento preventivo de pesquisa e verificação em bases de dados oficiais de marcas já registradas.
Busca de Patentes;Busca de documentos de patente em bases de dados gratuitas ou pagas em quaisquer línguas. Para efeitos dos requisitos de patenteabilidade, a busca deve ser por qualquer anterioridade (que inclui todo o estado da técnica) e não apenas por patentes. Auxilia na definição do estado da técnica relacionado a um determinado campo tecnológico. Útil para identificar a natureza da criação a ser patenteada. Essencial para a avaliação dos requisitos de patenteabilidade novidade, atividade inventiva ou ato inventivo.
Busca de Tecnologia;Pesquisa por documentos de patente, artigos científicos, anais de congressos e outros tipos de documentos sobre uma determinada tecnologia. A busca pode ser feita em bases de dados gratuitas ou pagas, em quaisquer línguas. É muito importante para avaliar a viabilidade de se investir na tecnologia.
Capital Intelectual;Conjunto sistematizado de conhecimentos e sua aplicação.
Carta-Patente;Título de propriedade temporária concedido pelo Estado brasileiro ao titular de uma patente de invenção ou de modelo de utilidade. O INPI somente concede uma patente após notificação na Revista de Propriedade Industrial (RPI) de decisão do deferimento do pedido de patente seguida de comprovação de pagamento de retribuição de expedição da carta-patente efetuado de acordo com normativas e tabela de retribuições vigentes.
Certificado de Registro de Marca;Título de propriedade de uma marca registrada.
Concorrência Desleal;Atos desleais no mercado, como publicar falsa informação, em detrimento de concorrente, divulgar informações confidenciais, atribuir-se, como meio de propaganda, recompensa ou distinção que não obteve.
Contrabando;Ato de importar ou exportar ilegalmente mercadoria que dependa de registro, análise ou autorização de órgão público competente ou, ainda, produtos proibidos por lei no país.
Contrafação;Reprodução não autorizada de obra protegida por direitos autorais.
Criações Industriais;Processos ou produtos aplicados à indústria.
Criador;Autor.
Cultivar;Variedade de planta, com características específicas resultantes de pesquisas em agronomia e biociências (genética, biotecnologia, botânica e ecologia), não simplesmente descoberta na natureza. Há, portanto, necessidade de intervenção humana na alteração da composição genética da planta para a obtenção de vegetal denominado cultivar.
Depósito;Ato inicial de requerimento de um pedido de registro de uma marca ou de um pedido de concessão de uma patente. A documentação deve ser peticionada no INPI acompanhada de retribuição previamente paga de acordo a tabela de retribuições vigente.
Descaminho;Entrada ou saída de produtos permitidos por Lei, mas sem passar pelos trâmites burocrático e recolhimento dos tributos devidos.
Descoberta;Revelação ou identificação de algo (ou fenômeno) existente na natureza, alcançada por meio da capacidade de observação do homem, como a formulação da Lei da Gravidade, identificação de uma propriedade de um material etc. As descobertas não são patenteáveis.
Desenho Industrial;Design aplicado a um produto, incluindo formas, estampas, interfaces, e tudo que interfere na sua aparência. Não pode ser considerado para o caso de objetos produzidos artesanalmente.
Direito Autoral;Proteção legal aos autores de obras literárias, artísticas ou científicas. Inclui, ainda, a proteção aos direitos conexos, isto é, aos direitos de interpretação dos artistas, de produtores de fonogramas e das organizações de radiodifusão. A proteção do direito autoral engloba também a proteção aos programas de computador.
Domínio público;Conjunto de bens culturais, de tecnologia ou de informação, cujos direitos econômicos tiveram seus prazos de proteção encerrados, não sendo mais de exclusividade de nenhum indivíduo ou entidade. Bens integrantes do domínio público podem ser objeto, porém, de direitos morais (que são eternos), cabendo sempre àqueles que forem utilizá-los citar a autoria e a fonte.
Estado da técnica;Conjunto de informações tornado acessível ao público antes da data de depósito do pedido de patente, por descrição escrita ou oral, por uso ou qualquer outro meio, no Brasil ou no exterior. As informações reveladas no período de graça e/ou na reivindicação de prioridade para fins de busca e exame não fazem parte do estado da técnica relacionado a um pedido de patente se realizadas conforme o estabelecido em normativas vigentes no INPI.
Fármaco;Também denominado princípio ativo ou insumo farmacêutico ativo. Componente farmacologicamente ativo destinado ao emprego em medicamento para fins de diagnóstico, profilaxia, alívio ou tratamento. Possui estrutura molecular e características físico-químicas próprias.
Indicação geográfica;Nome dado ao tipo de proteção, no âmbito da propriedade industrial, que se refere a produtos que são originários de uma determinada área geográfica (país, cidade, região ou localidade de seu território) e se tornaram conhecidos por possuírem qualidades ou reputação relacionadas à sua forma de extração, produção, fabricação ou características atribuídas ao meio geográfico. Também se refere à prestação de determinados serviços.
INPI;Instituto Nacional da Propriedade Industrial. autarquia federal brasileira, criada em 1970 e vinculada ao Ministério da Economia, responsável por registros de marcas, concessão de patentes, averbação de contratos de transferência de tecnologia e de franquia empresarial e por registros de programas de computador, desenho industrial e indicações geográficas, de acordo com a Lei da Propriedade Industrial (Lei no 9.279/96) e a Lei de Software (Lei no 9.609/98) em todo o território nacional.
Insuficiência de exploração;Uma licença compulsória poderá ser concedida por insuficiência de exploração de uma patente. Uma licença voluntária poderá ser cancelada se não forem obedecidas as condições estabelecidas para a exploração efetiva de uma patente.
Invenção;Natureza de uma criação a ser patenteada. Concepção criada pelo homem de produtos e/ou atividades que podem ser fabricados ou utilizados industrialmente e produzem um efeito técnico. Representa uma nova solução para um problema técnico específico em um determinado campo tecnológico. Possui atividade inventiva e proporciona vantagens tecnológicas em comparação com o estado da técnica. As matérias que não são consideradas invenção estão especificadas no artigo 10 da Lei 9279/96 de Propriedade Industrial (LPI).
Invenções não patenteáveis;As invenções que não apresentem os requisitos exigidos por lei, tais como aplicação industrial, novidade e atividade inventiva e as matérias especificadas nos artigos 10 e 18 da Lei 9279/96 de Propriedade Industrial (LPI).
Inventor (criador);Pessoa que teve a ideia inicial da invenção e/ou participou da execução e do desenvolvimento de um bem passível de proteção pela Lei de Propriedade Industrial. O inventor ou criador é sempre uma pessoa física.
Know-how;Arte de fabricação. Reunião de experiências, conhecimentos e habilidades para produzir um bem.
Lei da Propriedade Industrial (LPI);O disposto na Lei nº 9.279/1996 trata da proteção dos direitos relativos à propriedade industrial, considerado o seu interesse social e o desenvolvimento tecnológico e econômico do País.
Licença Compulsória;Prevista na Lei 9279/96 de Propriedade Industrial (LPI) para evitar abusos decorrentes do direito de exclusividade do titular, tais como a falta de exploração do objeto da patente após três anos de sua concessão. Pode ser concedida em casos de emergência nacional ou interesse público. Popularmente conhecida como “quebra de patente”.
Licença Voluntária;O depositante do pedido de patente ou o titular da patente podem licenciar terceiros para fabricarem e comercializarem a invenção ou o modelo de utilidade. A averbação de contratos de licença no INPI promove validade perante terceiros e segurança jurídica.
Licenciamento;Tipo de comercialização de bem de Propriedade Intelectual que envolve as modalidades cessão, licença voluntária e oferta de licença. No caso de patentes há também a licença compulsória.
Marca;Sinal distintivo aplicado a produto ou serviço.
Marca de alto renome;Marca que dispõe de proteção em todos os ramos de atividade, pois é amplamente conhecida por consumidores de diferentes segmentos e mercados.
Marca Figurativa;Apresenta somente uma figura ou desenho, sem nenhum termo ou expressão acoplado.
Marca Mista;Combinação de figura e termo ou expressão.
Marca Nominativa;Marca formada apenas por um nome, sem nenhum tratamento figurativo distintivo.
Marca Registrada;Marca respaldada por um título de propriedade.
Marca Tridimensional;Marca que corresponde a uma forma plástica distintiva e sem efeito técnico.
Medicamento genérico;Medicamento seguro, eficaz e de qualidade produzido geralmente após a expiração de patente de produto inovador. É intercambiável e similar a medicamento de referência.
Melhoria funcional;Resultado esperado de uma patente de modelo de utilidade. Pode representar uma melhora na praticidade, comodidade e/ou eficiência no uso ou na fabricação do objeto em questão.
Modelo de utilidade;Natureza de uma criação a ser patenteada. Criação de objeto tridimensional suscetível de aplicação industrial resultante da capacidade intelectual de seu autor que envolva ato inventivo. Nova forma ou disposição introduzida em objeto de uso prático, ou em parte deste, resultando em aperfeiçoamento e melhoria funcional no seu uso ou em sua fabricação. As criações que não são consideradas modelo de utilidade estão especificadas no artigo 10 da Lei 9279/96 de Propriedade Industrial (LPI).
Modelo de utilidade não patenteável;Modelo de utilidade que não apresenta os requisitos exigidos por lei, tais como aplicação industrial, novidade, ato inventivo e melhoria funcional e as matérias especificadas nos artigos 10 e 18 da Lei 9279/96 de Propriedade Industrial (LPI).
Natureza da proteção;"No INPI do Brasil a natureza de um ativo de propriedade industrial é identificada pelos números iniciais que sucedem as letras ""BR"" na numeração de cada processo, como indicado a seguir:
BR1 = patente de invenção
BR13 = certificado de adição de invenção
BR2 = patente de modelo de utilidade
BR3 = desenho industrial
BR4 = indicação geográfica
BR5 = programa de computador
BR6 = topografia de circuito integrado
BR7 = contrato de transferência de tecnologia"
Novidade;Um dos requisitos para a obtenção de uma patente ou de um desenho industrial. Em comparação com o estado da técnica relacionado ao pedido de patente a invenção ou o modelo de utilidade devem ser únicos e inéditos no âmbito mundial.
OMPI;Organização Mundial da propriedade Intelectual.
Papers;Papéis, documentos pertinentes, documentação exigida ou requerida.
Patente;Título legal que documenta e legitima o direito temporário do titular de uma invenção ou de um modelo de utilidade de ter exclusividade sobre o bem protegido pela patente. A patente visa à proteção das criações industriais novas e ao aperfeiçoamento das existentes.
Patente de Invenção;Reconhecimento dos direitos de exclusividade de uso ou exploração econômica de produto e/ou atividade industrial de uma patente cuja natureza é invenção.
Patente requerida;Pedido de patente na fila para o exame técnico de avaliação da patenteabilidade no INPI.
PCT;"Tratado de Cooperação em Matéria de Patentes (sigla do inglês ""Patent Cooperation Treaty""). Tratado multilateral administrado pela Organização Mundial da Propriedade Intelectual (OMPI ou WIPO em inglês) que permite requerer a proteção patentária de uma invenção, simultaneamente, em um grande número de países, por intermédio de um único depósito, chamado “Depósito Internacional de Patente”."
Pedido de Patente;Documento patentário apresentado à autoridade legal competente pela concessão de patentes (no Brasil, o INPI). Descreve a invenção ou o modelo de utilidade e especifica o que se deseja patentear. Composto pelas seguintes seções: Requerimento, Comprovante de pagamento da retribuição relativa ao depósito, Relatório descritivo, Reivindicações (ou Quadro Reivindicatório), Resumo, Desenhos (ou Figuras) e Listagem de Sequências Biológicas. O item Desenho é obrigatório para pedidos de patente de modelo de utilidade. O item Listagem de Sequências Biológicas é obrigatório para pedidos de patente de invenção com uma ou mais sequências de nucleotídeos e/ou de aminoácidos.
Pedidos;Petições, solicitações, requerimentos, protocolos, manifestações.
Período de Graça;As divulgações de uma invenção ou de um modelo de utilidade feitas pelo inventor dentro do período de 12 meses que antecede a data do depósito de um pedido de patente depositado no INPI não fazem parte do estado da técnica se promovidas conforme o estabelecido no Artigo 12 da Lei 9279/96 de Propriedade Industrial (LPI) e normativas relacionadas vigentes.
Pesquisa Tecnológica;Estudo científico que leva à criação ou desenvolvimento de algo novo, de uma nova tecnologia.
Pirataria;Nome popular dado para a violação dos direitos de Propriedade Intelectual.
Plágio;Ato de assinar ou apresentar uma obra intelectual de qualquer natureza (texto, música, fotografia, obra pictórica, obra audiovisual etc.) contendo partes de uma obra que pertença à outra pessoa, sem colocar os créditos para o autor original (direito moral). No ato de plágio, o plagiador se apropria indevidamente da obra intelectual de outra pessoa, assumindo a autoria da mesma.
Privilégio;Direito exclusivo.
Propriedade Industrial;Instituto jurídico criado para proteger as marcas, as indicações geográficas, os desenhos industriais e as patentes (invenções ou modelos de utilidade).
Propriedade Intelectual;Soma de todos os direitos inerentes à atividade intelectual nos domínios industrial, científico, literário e artístico. Dessa forma, Propriedade Intelectual é gênero onde a Propriedade Industrial e os Direitos de Autor são seus dois tipos.
Quebra de patente;Termo popular e equivocado atribuído à licença compulsória de uma patente prevista na Lei 9279/96 de Propriedade Industrial (LPI) para situações excepcionais.
Recolhimento(s);Pagamento de retribuições pelos serviços prestados pelo órgão ou entidade pública.
Registro de marca;Registro obtido a partir da concessão da marca.
Reivindicação;Parte obrigatória do quadro reivindicatório de pedidos de patente e de patentes concedidas. Em conjunto com o relatório descritivo e os desenhos define os limites e a extensão da proteção legal. Permite evidenciar infrações dos direitos do titular da patente praticadas por terceiros. Também pode constar de registros de desenhos industriais.
Reivindicação de prioridade para fins de busca e exame;Reivindicação da data de depósito de um primeiro documento de patente como data para delimitar o estado da técnica na busca por anterioridades no exame de pedido de patente de mesma matéria. Reivindicada no ato do depósito do pedido de patente posterior observando prazos, titularidade, comprovações e demais formalidades estabelecidas nos Artigos 16 e 17 da Lei 9279/96 (LPI), normativas relacionadas e tratados em vigor no INPI, como o PCT e a Convenção da União de Paris (CUP).
Relatório Descritivo;Seção obrigatória de pedidos de patente e de patentes concedidas. Descreve de forma consistente, precisa e suficiente a invenção ou o modelo de utilidade, incluindo suas características técnicas detalhadas e exemplos. Compara a criação pleiteada com o estado da técnica. Também pode constar de registros de desenhos industriais.
Requerimentos;Solicitações ou petições protocoladas no INPI.
Resumo;Seção do pedido de patente que apresenta de forma concisa a invenção ou o modelo de utilidade. Indica o setor técnológico e resume o contido no relatório descritivo, nas reivindicações e nos desenhos. Campo buscável em diversas bases de patentes. Auxilia o usuário a decidir se consulta o documento de patente na íntegra.
Royalties;Pagamento do direito de exploração comercial de uma Propriedade Intelectual ou recurso natural.
Segredo industrial;Aquilo que, por não ser conhecido pelos competidores em geral, dá a seu titular uma vantagem competitiva ou econômica, que se traduz em valor econômico. É a modalidade de proteção que permite que pessoas físicas ou jurídicas tenham a possibilidade de preservar a natureza confidencial dessa vantagem e evitar que as informações a elas associadas, legalmente sob seu controle, sejam divulgadas, adquiridas ou usadas por terceiros não autorizados, sem seu consentimento.
Software;Programa de computador.
Solicitações;Pedidos, petições ou requerimentos protocolados no INPI.
Titular;Pessoa física ou jurídica que detém os direitos patrimoniais sobre o objeto criado. Pode ser o próprio autor ou inventor ou a quem ele transferiu os seus direitos de Propriedade Intelectual.
Topografia de Circuito Integrado;Chip de computador. É uma série de imagens relacionadas, construídas ou codificadas sob qualquer meio ou forma que representa a configuração tridimensional das camadas que compõem um circuito integrado, e na qual cada imagem representa, no todo ou em parte, a disposição geométrica ou os arranjos da superfície do circuito integrado em qualquer estágio de sua concepção ou manufatura.
Transferência de tecnologia;Dispositivo previsto na Lei da Propriedade Industrial que permite a passagem de tecnologia entre pessoas físicas e jurídicas ou entre pessoas jurídicas, com o objetivo de aquisição de novos conhecimentos aplicáveis a melhoria de produtos, processos ou serviços. No Brasil para que apresentem efeitos econômicos, os contratos que impliquem transferência de tecnologia, sejam entre empresas nacionais, outras sediadas ou domiciliadas no exterior, devem ser avaliados e averbados pelo INPI, em uma das seguintes modalidades de contrato: exploração de patente, uso de marca, fornecimento de tecnologia, prestação de serviços de assistência técnica e científica e franquia.
Transgênico;Para fins da Lei 9279/96 (LPI), é o organismo geneticamente modificado pela intervenção humana diretamente na composição genética.
Venture Capital;Capital de risco para investimentos em novos negócios ou desenvolvimento de patentes e tecnologias.
Vigência;Prazo da proteção concedida fixado na Lei 9279/96 de Propriedade Industrial (LPI) ou em normativas sobre propriedade intelectual. Validade de um registro, título de propriedade ou concessão.
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
